id,title,assignee,inventor,priority_date,creation_date,publication_date,grant_date,result_link,representative_figure_link,number_of_authors,number_of_viewers
US-12014289-B2,Artificial intelligence and/or virtual reality for activity optimization/personalization ,"P Tech, Llc","Peter M. Bonutti, Justin E. Beyers, Tonya M. Bierman",2017-08-30,2021-08-05,2024-06-18,2024-06-18,https://patents.google.com/patent/US12014289B2/en,https://patentimages.storage.googleapis.com/5f/d7/44/292bec16a4c7d1/US12014289-20240618-D00000.png,two,20090
US-2022030009-A1,Computer security based on artificial intelligence ,Syed Kamran Hasan,Syed Kamran Hasan,2016-01-24,2021-05-22,2022-01-27,,https://patents.google.com/patent/US20220030009A1/en,https://patentimages.storage.googleapis.com/ac/e6/90/d66b1da92ab057/US20220030009A1-20220127-D00000.png,two,20091
US-10360899-B2,Method and device for processing speech based on artificial intelligence ,"Baidu Online Network Technology (Beijing) Co., Ltd.","Wei Zou, Xiangang LI, Weiwei CUI, Jingyuan HU",2017-03-24,2017-09-25,2019-07-23,2019-07-23,https://patents.google.com/patent/US10360899B2/en,https://patentimages.storage.googleapis.com/d9/16/67/d0c4e7bc2bc415/US10360899-20190723-D00000.png,two,20092
US-2021183498-A1,Facilitating artificial intelligence integration into systems using a distributed learning platform ,"GE Precision Healthcare, LLC","John Kalafut, Keith Dreyer, Mark Michalski, Stuart Pomerantz, Sean Doyle, Neil Tenenholtz",2018-12-31,2021-02-26,2021-06-17,,https://patents.google.com/patent/US20210183498A1/en,https://patentimages.storage.googleapis.com/0e/31/88/a42dae99b1c417/US20210183498A1-20210617-D00000.png,two,20093
US-11200467-B2,Artificial intelligence apparatus and method for recognizing object included in image data ,Lg Electronics Inc.,Kwangyong Lee,2019-11-12,2020-01-15,2021-12-14,2021-12-14,https://patents.google.com/patent/US11200467B2/en,https://patentimages.storage.googleapis.com/9d/35/b0/4ee1a7615628a9/US11200467-20211214-D00000.png,two,20094
US-2023222454-A1,Artificial-Intelligence-Based Preventative Maintenance for Robotic Fleet ,"Strong Force Vcn Portfolio 2019, Llc","Charles Howard Cella, Teymour S EL-TAHRY, Leon Fortin, Jr.",2020-12-18,2023-03-07,2023-07-13,,https://patents.google.com/patent/US20230222454A1/en,https://patentimages.storage.googleapis.com/76/37/fb/8a541ecb35d18d/US20230222454A1-20230713-D00000.png,two,20095
US-11298560-B2,Light output device for caring for user using artificial intelligence and method of operating the same ,Lg Electronics Inc.,"Hyoeun Kim, Jaehong Kim, Hangil JEONG",2019-07-11,2019-08-13,2022-04-12,2022-04-12,https://patents.google.com/patent/US11298560B2/en,https://patentimages.storage.googleapis.com/99/7f/9d/3e46b085fe5839/US11298560-20220412-D00000.png,one,20096
US-11282196-B2,Automated patient complexity classification for artificial intelligence tools ,International Business Machines Corporation,"Emily Lindemer, David Richmond, Marwan Sati, Maria V. Sainz de Cea",2018-11-20,2020-06-24,2022-03-22,2022-03-22,https://patents.google.com/patent/US11282196B2/en,https://patentimages.storage.googleapis.com/b4/d5/a4/5970efce3e803b/US11282196-20220322-D00000.png,one,20097
US-2020092519-A1,Video conference system using artificial intelligence ,Lg Electronics Inc.,"Wonho Shin, Jichan MAENG",2019-07-25,2019-11-21,2020-03-19,,https://patents.google.com/patent/US20200092519A1/en,https://patentimages.storage.googleapis.com/64/8a/ad/44bf8b9fc75b18/US20200092519A1-20200319-D00000.png,one,20098
US-11755108-B2,Systems and methods for deep reinforcement learning using a brain-artificial intelligence interface ,The Trustees Of Columbia University In The City Of New York,"Paul Sajda, Sameer Saproo, Victor Shih, Sonakshi Bose Roy, David Jangraw",2016-04-08,2018-10-02,2023-09-12,2023-09-12,https://patents.google.com/patent/US11755108B2/en,https://patentimages.storage.googleapis.com/09/e1/31/0cc544231d834b/US11755108-20230912-D00000.png,one,20099
